,TS_station_point,9pntmin,9pntmax,9ptmean
2017-03-01 00:00:00,0.0,0.0,0.0,0.0
2017-03-01 01:00:00,0.0,0.0,0.0,0.0
2017-03-01 02:00:00,0.0,0.0,0.0,0.0
2017-03-01 03:00:00,0.0,0.0,0.0,0.0
2017-03-01 04:00:00,0.0,0.0,0.0,0.0
2017-03-01 05:00:00,2.2267984000000003,0.0,30.044943,7.15827831111111
2017-03-01 06:00:00,16.468237000000002,16.093116000000002,19.176152,17.330197000000002
2017-03-01 07:00:00,0.0,0.0,0.0,0.0
2017-03-01 08:00:00,0.0,0.0,0.0,0.0
2017-03-01 09:00:00,0.0,0.0,0.0,0.0
2017-03-01 10:00:00,0.0,0.0,0.0,0.0
2017-03-01 11:00:00,0.0,0.0,0.0,0.0
2017-03-01 12:00:00,20.513498000000002,19.339299,22.499071,20.905209555555555
2017-03-01 13:00:00,0.0,0.0,0.0,0.0
2017-03-01 14:00:00,0.0,0.0,0.0,0.0
2017-03-01 15:00:00,0.0,0.0,0.0,0.0
2017-03-01 16:00:00,0.0,0.0,1.5185155000000001,0.45573998888888895
2017-03-01 17:00:00,50.820592,46.678872999999996,56.461642000000005,51.092852444444446
2017-03-01 18:00:00,0.35045624999999997,0.30386985,0.41367778,0.3574196233333333
2017-03-01 19:00:00,0.0,0.0,0.0,0.0
2017-03-01 20:00:00,0.0,0.0,0.0,0.0
2017-03-01 21:00:00,0.0,0.0,0.0,0.0
2017-03-01 22:00:00,0.0,0.0,0.0,0.0
2017-03-01 23:00:00,210.78142,158.43779,242.32017,204.83173999999997
2017-03-02 00:00:00,0.73731121,0.25292658,2.2471947,0.9396990788888888
2017-03-02 01:00:00,0.0,0.0,0.0,0.0
2017-03-02 02:00:00,0.0,0.0,0.0,0.0
2017-03-02 03:00:00,0.0,0.0,0.0,0.0
2017-03-02 04:00:00,0.0,0.0,0.0,0.0
2017-03-02 05:00:00,83.99678300000001,21.091594999999998,122.62290999999999,76.41876733333332
2017-03-02 06:00:00,12.650129999999999,6.6063249,15.889073999999999,12.105803766666668
2017-03-02 07:00:00,0.0,0.0,0.0,0.0
2017-03-02 08:00:00,0.0,0.0,0.0,0.0
2017-03-02 09:00:00,0.0,0.0,0.0,0.0
2017-03-02 10:00:00,0.0,0.0,0.0,0.0
2017-03-02 11:00:00,0.0,0.0,0.0,0.0
2017-03-02 12:00:00,26.727128,23.065184,45.978401999999996,28.767499333333333
2017-03-02 13:00:00,10.799625,3.1716149000000002,25.335292,12.635715566666667
2017-03-02 14:00:00,0.0,0.0,0.0,0.0
2017-03-02 15:00:00,0.0,0.0,0.0,0.0
2017-03-02 16:00:00,0.0,0.0,1.3856591,0.4494159666666666
2017-03-02 17:00:00,11.08069,9.8539676,12.752289,11.149638066666666
2017-03-02 18:00:00,1.0140924,0.7005019699999999,1.4015592000000001,1.0796281666666667
2017-03-02 19:00:00,0.0,0.0,0.0,0.0
2017-03-02 20:00:00,0.0,0.0,0.0,0.0
2017-03-02 21:00:00,0.0,0.0,0.0,0.0
2017-03-02 22:00:00,0.0,0.0,0.0,0.0
2017-03-02 23:00:00,206.54635000000002,195.22493,219.64865,206.8922177777778
2017-03-03 00:00:00,0.017613015,0.0050333462,0.042333809,0.021201779855555557
2017-03-03 01:00:00,0.0,0.0,0.0,0.0
2017-03-03 02:00:00,0.0,0.0,0.0,0.0
2017-03-03 03:00:00,0.0,0.0,0.0,0.0
2017-03-03 04:00:00,0.0,0.0,0.0,0.0
2017-03-03 05:00:00,1042.7424,580.70966,1415.0393,981.2170666666667
2017-03-03 06:00:00,155.70245,24.619063,403.07452,190.689979
2017-03-03 07:00:00,0.0,0.0,0.0,0.0
2017-03-03 08:00:00,0.0,0.0,0.0,0.0
2017-03-03 09:00:00,0.0,0.0,0.0,0.0
2017-03-03 10:00:00,0.0,0.0,0.0,0.0
2017-03-03 11:00:00,614.2428600000001,419.60142,839.51163,574.7474633333334
2017-03-03 12:00:00,435.64514,176.08324,724.6647099999999,454.6156666666667
2017-03-03 13:00:00,0.0,0.0,0.0,0.0
2017-03-03 14:00:00,0.0,0.0,0.0,0.0
2017-03-03 15:00:00,0.0,0.0,0.0,0.0
2017-03-03 16:00:00,30.447450999999997,10.108942,63.35316,34.495917222222225
2017-03-03 17:00:00,23.670656,18.957806,26.984130999999998,23.023904666666667
2017-03-03 18:00:00,2.4282904,0.40077646,8.722609899999998,3.5404544411111107
2017-03-03 19:00:00,0.045232365,0.0,0.39525031,0.11930194166666667
2017-03-03 20:00:00,0.0,0.0,0.0,0.0
2017-03-03 21:00:00,0.0,0.0,0.0,0.0
2017-03-03 22:00:00,0.0,0.0,0.0,0.0
2017-03-03 23:00:00,175.93926,168.58492999999999,185.625,176.36697777777778
2017-03-04 00:00:00,0.0,0.0,0.0,0.0
2017-03-04 01:00:00,0.0,0.0,0.0,0.0
2017-03-04 02:00:00,0.0,0.0,0.0,0.0
2017-03-04 03:00:00,0.0,0.0,0.0,0.0
2017-03-04 04:00:00,0.0,0.0,0.0,0.0
2017-03-04 05:00:00,875.66103,544.76142,1008.4956999999999,798.3864577777778
2017-03-04 06:00:00,13.234287,2.0549079999999997,48.809048,16.371055733333336
2017-03-04 07:00:00,0.0,0.0,0.0,0.0
2017-03-04 08:00:00,0.0,0.0,0.0,0.0
2017-03-04 09:00:00,0.0,0.0,0.0,0.0
2017-03-04 10:00:00,0.0,0.0,0.0,0.0
2017-03-04 11:00:00,362.19732,273.95494,743.68145,411.1564888888889
2017-03-04 12:00:00,32.759079,13.064991,87.909699,40.87803811111112
2017-03-04 13:00:00,0.0,0.0,0.0,0.0
2017-03-04 14:00:00,0.0,0.0,0.0,0.0
2017-03-04 15:00:00,0.0,0.0,0.0,0.0
2017-03-04 16:00:00,0.60668907,0.0,4.0712134,1.4492248666666667
2017-03-04 17:00:00,15.840070999999998,14.08091,17.266000000000002,15.711148
2017-03-04 18:00:00,2.2855925,2.2018473,2.392138,2.2935750444444447
2017-03-04 19:00:00,0.0,0.0,0.0,0.0
2017-03-04 20:00:00,0.0,0.0,0.0,0.0
2017-03-04 21:00:00,0.0,0.0,0.0,0.0
2017-03-04 22:00:00,0.0,0.0,0.0,0.0
2017-03-04 23:00:00,117.73780000000001,103.57238000000001,122.98358,114.27094777777776
2017-03-05 00:00:00,0.21069701999999998,0.20998739,0.22044883999999998,0.21474645555555555
2017-03-05 01:00:00,0.0,0.0,0.0,0.0
2017-03-05 02:00:00,0.0,0.0,0.0,0.0
2017-03-05 03:00:00,0.0,0.0,0.0,0.0
2017-03-05 04:00:00,0.0,0.0,0.0,0.0
2017-03-05 05:00:00,478.88009999999997,323.65241,566.81689,456.2679022222222
2017-03-05 06:00:00,0.1482978,0.14804786,0.35688873,0.1877646077777778
2017-03-05 07:00:00,0.0,0.0,0.0,0.0
2017-03-05 08:00:00,0.0,0.0,0.0,0.0
2017-03-05 09:00:00,0.0,0.0,0.0,0.0
2017-03-05 10:00:00,0.0,0.0,0.0,0.0
2017-03-05 11:00:00,337.50385,146.48608000000002,712.6154399999999,358.97354777777775
2017-03-05 12:00:00,1039.6001999999999,781.76096,1271.4058,1016.7737022222221
2017-03-05 13:00:00,0.0,0.0,0.0,0.0
2017-03-05 14:00:00,0.0,0.0,0.0,0.0
2017-03-05 15:00:00,0.0,0.0,0.0,0.0
2017-03-05 16:00:00,0.7717380899999999,0.0,3.0721371,1.2157663944444446
2017-03-05 17:00:00,10.000322,9.0663061,11.847388,10.1159692
2017-03-05 18:00:00,2.1223032,1.9579957,2.3195,2.1303296333333335
2017-03-05 19:00:00,0.0,0.0,0.0,0.0
2017-03-05 20:00:00,0.0,0.0,0.0,0.0
2017-03-05 21:00:00,0.0,0.0,0.0,0.0
2017-03-05 22:00:00,0.0,0.0,0.0,0.0
2017-03-05 23:00:00,206.34323,189.64183000000003,216.47422,202.25978222222224
2017-03-06 00:00:00,0.050503046999999995,0.027788801000000002,0.06790664,0.04936592566666667
2017-03-06 01:00:00,0.0,0.0,0.0,0.0
2017-03-06 02:00:00,0.0,0.0,0.0,0.0
2017-03-06 03:00:00,0.0,0.0,0.0,0.0
2017-03-06 04:00:00,0.0,0.0,0.0,0.0
2017-03-06 05:00:00,56.352979000000005,26.688685,108.56948,58.165254222222224
2017-03-06 06:00:00,139.59673999999998,81.705613,237.25851,150.21064066666668
2017-03-06 07:00:00,0.0,0.0,0.0,0.0
2017-03-06 08:00:00,0.0,0.0,0.0,0.0
2017-03-06 09:00:00,0.0,0.0,0.0,0.0
2017-03-06 10:00:00,0.0,0.0,0.0,0.0
2017-03-06 11:00:00,5.560820700000001,0.91667306,18.513441,7.238663973333335
2017-03-06 12:00:00,1035.8259,764.8720599999999,1203.6311,998.3636566666667
2017-03-06 13:00:00,0.0,0.0,0.0,0.0
2017-03-06 14:00:00,0.0,0.0,0.0,0.0
2017-03-06 15:00:00,0.0,0.0,0.0,0.0
2017-03-06 16:00:00,0.0,0.0,0.0,0.0
2017-03-06 17:00:00,12.939197,11.759686,14.100808,12.939023666666666
2017-03-06 18:00:00,1.0277208999999998,0.7939913200000001,1.4930946999999999,1.0935511588888887
2017-03-06 19:00:00,0.0,0.0,0.0,0.0
2017-03-06 20:00:00,0.0,0.0,0.0,0.0
2017-03-06 21:00:00,0.0,0.0,0.0,0.0
2017-03-06 22:00:00,0.0,0.0,0.0,0.0
2017-03-06 23:00:00,110.30439000000001,56.516219,155.43214,109.56107888888889
2017-03-07 00:00:00,0.0,0.0,0.0,0.0
2017-03-07 01:00:00,0.0,0.0,0.0,0.0
2017-03-07 02:00:00,0.0,0.0,0.0,0.0
2017-03-07 03:00:00,0.0,0.0,0.0,0.0
2017-03-07 04:00:00,0.0,0.0,0.0,0.0
2017-03-07 05:00:00,79.49848800000001,16.251967999999998,201.69573,94.84123522222222
2017-03-07 06:00:00,8.0700183,0.89918319,35.853504,11.05591899888889
2017-03-07 07:00:00,0.0,0.0,0.0,0.0
2017-03-07 08:00:00,0.0,0.0,0.0,0.0
2017-03-07 09:00:00,0.0,0.0,0.0,0.0
2017-03-07 10:00:00,0.0,0.0,0.0,0.0
2017-03-07 11:00:00,9.1619604,3.0665317,21.826909,10.8548569
2017-03-07 12:00:00,20.080981,12.249583000000001,40.202176,23.305519444444442
2017-03-07 13:00:00,0.0,0.0,0.0,0.0
2017-03-07 14:00:00,0.0,0.0,0.0,0.0
2017-03-07 15:00:00,0.0,0.0,0.0,0.0
2017-03-07 16:00:00,0.0,0.0,0.0,0.0
2017-03-07 17:00:00,29.077786,21.872549,41.220828,29.232959666666666
2017-03-07 18:00:00,1.9072538,1.2227641999999999,2.3837188,1.8655199111111114
2017-03-07 19:00:00,0.0,0.0,0.0,0.0
2017-03-07 20:00:00,0.0,0.0,0.0,0.0
2017-03-07 21:00:00,0.0,0.0,0.0,0.0
2017-03-07 22:00:00,0.0,0.0,0.0,0.0
2017-03-07 23:00:00,46.658453,15.412605999999998,96.417534,51.72196211111111
2017-03-08 00:00:00,0.19777798,0.11670102,0.424201,0.2260554922222222
2017-03-08 01:00:00,0.0,0.0,0.0,0.0
2017-03-08 02:00:00,0.0,0.0,0.0,0.0
2017-03-08 03:00:00,0.0,0.0,0.0,0.0
2017-03-08 04:00:00,0.0,0.0,0.0,0.0
2017-03-08 05:00:00,12.007948,0.0,72.372866,21.395316731111112
2017-03-08 06:00:00,16.792073000000002,13.780488,19.746755999999998,16.904249222222223
2017-03-08 07:00:00,0.0,0.0,0.0,0.0
