TETimestamp,PM25,SO2
2017-03-01 00:00:00+00:00,3.31,2.197
2017-03-01 00:15:00+00:00,6.86,2.02
2017-03-01 00:30:00+00:00,14.15,4.092
2017-03-01 00:45:00+00:00,17.01,12.269
2017-03-01 01:00:00+00:00,7.44,13.248
2017-03-01 01:15:00+00:00,16.43,10.878
2017-03-01 01:30:00+00:00,8.62,13.227
2017-03-01 01:45:00+00:00,5.89,4.005
2017-03-01 02:00:00+00:00,3.49,2.187
2017-03-01 02:15:00+00:00,5.37,1.462
2017-03-01 02:30:00+00:00,6.27,2.16
2017-03-01 02:45:00+00:00,21.73,8.558
2017-03-01 03:00:00+00:00,27.27,18.75
2017-03-01 03:15:00+00:00,20.4,17.975
2017-03-01 03:30:00+00:00,19.45,14.122
2017-03-01 03:45:00+00:00,13.25,7.767
2017-03-01 04:00:00+00:00,12.0,5.542999999999999
2017-03-01 04:15:00+00:00,15.94,9.215
2017-03-01 04:30:00+00:00,28.03,13.450999999999999
2017-03-01 04:45:00+00:00,34.58,16.493
2017-03-01 05:00:00+00:00,35.46,19.252
2017-03-01 05:15:00+00:00,22.25,15.495
2017-03-01 05:30:00+00:00,11.46,5.5920000000000005
2017-03-01 05:45:00+00:00,5.63,1.6059999999999999
2017-03-01 06:00:00+00:00,4.45,1.163
2017-03-01 06:15:00+00:00,4.66,0.9440000000000001
2017-03-01 06:30:00+00:00,65.13,3.551
2017-03-01 06:45:00+00:00,98.02,8.467
2017-03-01 07:00:00+00:00,126.46,10.043
2017-03-01 07:15:00+00:00,102.59,7.151
2017-03-01 07:30:00+00:00,217.27,13.917
2017-03-01 07:45:00+00:00,146.51,16.758
2017-03-01 08:00:00+00:00,110.95,7.721
2017-03-01 08:15:00+00:00,29.39,4.879
2017-03-01 08:30:00+00:00,271.09,6.859
2017-03-01 08:45:00+00:00,245.54,16.423
2017-03-01 09:00:00+00:00,163.25,14.714
2017-03-01 09:15:00+00:00,129.23,8.543
2017-03-01 09:30:00+00:00,36.09,5.732
2017-03-01 09:45:00+00:00,4.82,3.491
2017-03-01 10:00:00+00:00,1.8,0.963
2017-03-01 10:15:00+00:00,3.55,0.728
2017-03-01 10:30:00+00:00,2.84,0.872
2017-03-01 10:45:00+00:00,1.0,0.504
2017-03-01 11:00:00+00:00,172.81,2.53
2017-03-01 11:15:00+00:00,246.29,10.046
2017-03-01 11:30:00+00:00,210.39,16.4
2017-03-01 11:45:00+00:00,172.71,12.202
2017-03-01 12:00:00+00:00,77.83,6.752000000000001
2017-03-01 12:15:00+00:00,115.87,10.84
2017-03-01 12:30:00+00:00,52.55,9.666
2017-03-01 12:45:00+00:00,85.85,3.24
2017-03-01 13:00:00+00:00,151.48,13.335
2017-03-01 13:15:00+00:00,158.7,20.105999999999998
2017-03-01 13:30:00+00:00,51.14,9.736
2017-03-01 13:45:00+00:00,79.89,9.472000000000001
2017-03-01 14:00:00+00:00,65.21,12.122
2017-03-01 14:15:00+00:00,38.08,13.458
2017-03-01 14:30:00+00:00,17.63,6.3229999999999995
2017-03-01 14:45:00+00:00,10.57,4.68
2017-03-01 15:00:00+00:00,7.81,2.862
2017-03-01 15:15:00+00:00,8.62,4.268
2017-03-01 15:30:00+00:00,3.72,2.457
2017-03-01 15:45:00+00:00,2.59,0.825
2017-03-01 16:00:00+00:00,3.09,1.709
2017-03-01 16:15:00+00:00,5.74,1.723
2017-03-01 16:30:00+00:00,4.64,5.178999999999999
2017-03-01 16:45:00+00:00,4.37,4.47
2017-03-01 17:00:00+00:00,4.3,5.314
2017-03-01 17:15:00+00:00,5.87,7.457000000000001
2017-03-01 17:30:00+00:00,2.38,6.071000000000001
2017-03-01 17:45:00+00:00,1.71,2.181
2017-03-01 18:00:00+00:00,3.59,5.55
2017-03-01 18:15:00+00:00,1.35,3.3160000000000003
2017-03-01 18:30:00+00:00,1.77,5.987
2017-03-01 18:45:00+00:00,1.75,5.18
2017-03-01 19:00:00+00:00,1.57,6.593999999999999
2017-03-01 19:15:00+00:00,3.05,8.198
2017-03-01 19:30:00+00:00,2.1,10.056000000000001
2017-03-01 19:45:00+00:00,1.67,7.228
2017-03-01 20:00:00+00:00,1.87,7.415
2017-03-01 20:15:00+00:00,2.79,5.189
2017-03-01 20:30:00+00:00,1.65,8.106
2017-03-01 20:45:00+00:00,1.95,8.462
2017-03-01 21:00:00+00:00,1.47,5.432
2017-03-01 21:15:00+00:00,1.33,6.962999999999999
2017-03-01 21:30:00+00:00,1.5,8.087
2017-03-01 21:45:00+00:00,2.25,7.986000000000001
2017-03-01 22:00:00+00:00,1.59,6.822
2017-03-01 22:15:00+00:00,2.26,6.055
2017-03-01 22:30:00+00:00,1.39,7.609
2017-03-01 22:45:00+00:00,1.85,6.361000000000001
2017-03-01 23:00:00+00:00,1.88,8.014
2017-03-01 23:15:00+00:00,1.76,9.622
2017-03-01 23:30:00+00:00,1.61,4.4
2017-03-01 23:45:00+00:00,1.36,5.601
2017-03-02 00:00:00+00:00,1.28,3.0010000000000003
2017-03-02 00:15:00+00:00,1.51,2.32
2017-03-02 00:30:00+00:00,2.16,2.26
2017-03-02 00:45:00+00:00,1.72,2.1430000000000002
2017-03-02 01:00:00+00:00,1.49,2.062
2017-03-02 01:15:00+00:00,1.47,1.9480000000000002
2017-03-02 01:30:00+00:00,1.24,1.685
2017-03-02 01:45:00+00:00,1.33,1.743
2017-03-02 02:00:00+00:00,1.77,1.672
2017-03-02 02:15:00+00:00,2.71,2.533
2017-03-02 02:30:00+00:00,1.92,1.969
2017-03-02 02:45:00+00:00,1.72,1.466
2017-03-02 03:00:00+00:00,1.51,1.579
2017-03-02 03:15:00+00:00,1.79,1.385
2017-03-02 03:30:00+00:00,1.9,1.304
2017-03-02 03:45:00+00:00,2.28,1.5919999999999999
2017-03-02 04:00:00+00:00,2.38,2.0340000000000003
2017-03-02 04:15:00+00:00,3.29,1.825
2017-03-02 04:30:00+00:00,2.44,1.617
2017-03-02 04:45:00+00:00,1.65,1.158
2017-03-02 05:00:00+00:00,2.28,1.3019999999999998
2017-03-02 05:15:00+00:00,3.53,1.916
2017-03-02 05:30:00+00:00,8.2,5.9270000000000005
2017-03-02 05:45:00+00:00,5.43,7.919
2017-03-02 06:00:00+00:00,2.26,2.841
2017-03-02 06:15:00+00:00,2.37,1.128
2017-03-02 06:30:00+00:00,2.11,0.987
2017-03-02 06:45:00+00:00,3.12,0.675
2017-03-02 07:00:00+00:00,2.42,0.655
2017-03-02 07:15:00+00:00,2.34,0.43200000000000005
2017-03-02 07:30:00+00:00,2.88,0.358
2017-03-02 07:45:00+00:00,3.06,0.43799999999999994
2017-03-02 08:00:00+00:00,2.83,0.54
2017-03-02 08:15:00+00:00,2.54,0.478
2017-03-02 08:30:00+00:00,2.68,0.40700000000000003
2017-03-02 08:45:00+00:00,2.63,0.423
2017-03-02 09:00:00+00:00,2.67,0.382
2017-03-02 09:15:00+00:00,3.11,0.249
2017-03-02 09:30:00+00:00,2.88,0.287
2017-03-02 09:45:00+00:00,5.57,0.539
2017-03-02 10:00:00+00:00,7.73,0.637
2017-03-02 10:15:00+00:00,4.5,0.715
2017-03-02 10:30:00+00:00,4.92,0.457
2017-03-02 10:45:00+00:00,4.84,0.696
2017-03-02 11:00:00+00:00,5.23,0.5379999999999999
2017-03-02 11:15:00+00:00,6.77,1.268
2017-03-02 11:30:00+00:00,3.61,0.872
2017-03-02 11:45:00+00:00,3.86,0.721
2017-03-02 12:00:00+00:00,4.03,1.0959999999999999
2017-03-02 12:15:00+00:00,3.1,0.8690000000000001
2017-03-02 12:30:00+00:00,3.24,0.551
2017-03-02 12:45:00+00:00,4.05,0.574
2017-03-02 13:00:00+00:00,3.31,1.035
2017-03-02 13:15:00+00:00,3.95,0.677
2017-03-02 13:30:00+00:00,3.97,0.6609999999999999
2017-03-02 13:45:00+00:00,4.04,1.006
2017-03-02 14:00:00+00:00,4.75,1.167
2017-03-02 14:15:00+00:00,3.96,1.754
2017-03-02 14:30:00+00:00,2.4,0.721
2017-03-02 14:45:00+00:00,2.42,0.6629999999999999
2017-03-02 15:00:00+00:00,2.11,0.47700000000000004
2017-03-02 15:15:00+00:00,2.5,0.764
2017-03-02 15:30:00+00:00,1.96,2.226
2017-03-02 15:45:00+00:00,2.13,1.147
2017-03-02 16:00:00+00:00,2.12,0.8420000000000001
2017-03-02 16:15:00+00:00,1.92,0.882
2017-03-02 16:30:00+00:00,1.56,1.555
2017-03-02 16:45:00+00:00,1.03,0.773
2017-03-02 17:00:00+00:00,1.47,1.004
2017-03-02 17:15:00+00:00,1.47,0.7609999999999999
2017-03-02 17:30:00+00:00,1.39,0.907
2017-03-02 17:45:00+00:00,1.28,0.9440000000000001
2017-03-02 18:01:00+00:00,1.65,1.525
2017-03-02 18:16:00+00:00,1.63,3.485
2017-03-02 18:31:00+00:00,1.51,4.688
2017-03-02 18:46:00+00:00,1.21,1.806
2017-03-02 19:01:00+00:00,1.0,2.312
2017-03-02 19:16:00+00:00,1.15,1.406
2017-03-02 19:31:00+00:00,0.8,1.889
2017-03-02 19:46:00+00:00,1.19,2.253
2017-03-02 20:01:00+00:00,1.12,2.155
2017-03-02 20:16:00+00:00,1.15,2.4530000000000003
2017-03-02 20:31:00+00:00,0.9,2.2969999999999997
2017-03-02 20:46:00+00:00,1.09,2.144
2017-03-02 21:01:00+00:00,1.14,3.832
2017-03-02 21:16:00+00:00,0.76,3.6839999999999997
2017-03-02 21:31:00+00:00,1.57,3.033
2017-03-02 21:46:00+00:00,1.78,8.488
2017-03-02 22:01:00+00:00,1.43,3.155
2017-03-02 22:16:00+00:00,1.66,2.3480000000000003
2017-03-02 22:31:00+00:00,1.47,3.2910000000000004
2017-03-02 22:46:00+00:00,2.09,2.217
2017-03-02 23:01:00+00:00,3.89,2.269
2017-03-02 23:16:00+00:00,4.03,2.8789999999999996
2017-03-02 23:31:00+00:00,1.4,3.165
2017-03-02 23:46:00+00:00,1.61,2.947
2017-03-03 00:01:00+00:00,1.49,2.747
2017-03-03 00:16:00+00:00,1.93,2.472
2017-03-03 00:31:00+00:00,2.58,2.813
2017-03-03 00:46:00+00:00,1.52,3.1289999999999996
2017-03-03 01:01:00+00:00,1.52,3.1639999999999997
2017-03-03 01:16:00+00:00,1.61,3.0039999999999996
2017-03-03 01:31:00+00:00,1.58,2.5669999999999997
2017-03-03 01:46:00+00:00,1.76,2.375
2017-03-03 02:01:00+00:00,2.24,2.306
2017-03-03 02:16:00+00:00,1.95,1.8519999999999999
2017-03-03 02:31:00+00:00,2.31,1.675
2017-03-03 02:46:00+00:00,2.32,2.458
2017-03-03 03:01:00+00:00,2.15,1.82
2017-03-03 03:16:00+00:00,1.86,1.796
2017-03-03 03:31:00+00:00,2.11,1.28
2017-03-03 03:46:00+00:00,1.98,1.682
2017-03-03 04:01:00+00:00,2.24,1.206
2017-03-03 04:16:00+00:00,3.02,1.6909999999999998
2017-03-03 04:31:00+00:00,4.97,1.643
2017-03-03 04:46:00+00:00,4.43,0.897
2017-03-03 05:01:00+00:00,4.53,1.4880000000000002
2017-03-03 05:16:00+00:00,4.72,1.3559999999999999
2017-03-03 05:31:00+00:00,4.22,1.3359999999999999
2017-03-03 05:46:00+00:00,4.87,0.87
2017-03-03 06:01:00+00:00,3.02,0.757
2017-03-03 06:16:00+00:00,3.37,0.6809999999999999
2017-03-03 06:31:00+00:00,3.99,1.053
2017-03-03 06:46:00+00:00,3.44,1.273
2017-03-03 07:01:00+00:00,3.71,1.1
2017-03-03 07:16:00+00:00,3.26,1.449
2017-03-03 07:31:00+00:00,3.74,0.44799999999999995
2017-03-03 07:46:00+00:00,3.51,0.762
2017-03-03 08:01:00+00:00,3.04,1.157
2017-03-03 08:16:00+00:00,3.85,0.563
2017-03-03 08:31:00+00:00,4.36,0.7070000000000001
2017-03-03 08:46:00+00:00,3.25,0.6459999999999999
2017-03-03 09:01:00+00:00,3.4,0.473
2017-03-03 09:16:00+00:00,3.12,0.7979999999999999
2017-03-03 09:31:00+00:00,2.43,0.353
2017-03-03 09:46:00+00:00,2.92,0.18100000000000002
2017-03-03 10:01:00+00:00,3.71,1.0759999999999998
2017-03-03 10:16:00+00:00,2.66,0.8170000000000001
2017-03-03 10:31:00+00:00,3.87,0.6659999999999999
2017-03-03 10:46:00+00:00,4.35,0.45399999999999996
2017-03-03 11:01:00+00:00,6.06,0.294
2017-03-03 11:16:00+00:00,6.75,1.5
2017-03-03 11:31:00+00:00,4.4,1.514
2017-03-03 11:46:00+00:00,4.32,1.032
2017-03-03 12:01:00+00:00,4.13,0.614
2017-03-03 12:16:00+00:00,4.02,0.182
2017-03-03 12:31:00+00:00,4.57,0.32799999999999996
2017-03-03 12:46:00+00:00,5.36,0.485
2017-03-03 13:01:00+00:00,4.38,0.35600000000000004
2017-03-03 13:16:00+00:00,3.95,0.35600000000000004
2017-03-03 13:31:00+00:00,2.78,-0.11
2017-03-03 13:46:00+00:00,3.1,0.066
2017-03-03 14:01:00+00:00,3.07,0.168
2017-03-03 14:16:00+00:00,2.28,0.07200000000000001
2017-03-03 14:31:00+00:00,2.15,0.955
2017-03-03 14:46:00+00:00,1.4,0.38
2017-03-03 15:01:00+00:00,1.5,-0.134
2017-03-03 15:16:00+00:00,1.42,-0.122
2017-03-03 15:31:00+00:00,1.51,0.22899999999999998
2017-03-03 15:46:00+00:00,1.59,1.016
2017-03-03 16:01:00+00:00,1.29,0.45899999999999996
2017-03-03 16:16:00+00:00,1.44,0.40700000000000003
2017-03-03 16:31:00+00:00,1.11,1.534
2017-03-03 16:46:00+00:00,1.47,0.935
2017-03-03 17:01:00+00:00,1.16,1.507
2017-03-03 17:16:00+00:00,1.96,1.357
2017-03-03 17:31:00+00:00,1.54,2.096
2017-03-03 17:46:00+00:00,1.23,1.199
2017-03-03 18:01:00+00:00,1.32,1.974
2017-03-03 18:16:00+00:00,1.58,2.0069999999999997
2017-03-03 18:31:00+00:00,1.16,1.5090000000000001
2017-03-03 18:46:00+00:00,1.39,2.057
2017-03-03 19:01:00+00:00,1.77,2.386
2017-03-03 19:16:00+00:00,1.83,5.997000000000001
2017-03-03 19:31:00+00:00,2.06,6.675
2017-03-03 19:46:00+00:00,1.5,10.444
2017-03-03 20:01:00+00:00,1.39,8.794
2017-03-03 20:16:00+00:00,1.23,8.521
2017-03-03 20:31:00+00:00,1.65,5.7989999999999995
2017-03-03 20:46:00+00:00,0.97,8.929
2017-03-03 21:01:00+00:00,1.86,3.1439999999999997
2017-03-03 21:16:00+00:00,1.8,9.63
2017-03-03 21:31:00+00:00,1.38,8.392000000000001
2017-03-03 21:46:00+00:00,1.09,3.713
2017-03-03 22:01:00+00:00,1.04,4.012
2017-03-03 22:16:00+00:00,3.65,2.597
2017-03-03 22:31:00+00:00,1.88,3.5660000000000003
2017-03-03 22:46:00+00:00,1.63,3.345
2017-03-03 23:01:00+00:00,1.04,2.5839999999999996
2017-03-03 23:16:00+00:00,1.14,2.72
2017-03-03 23:31:00+00:00,2.05,2.681
2017-03-03 23:46:00+00:00,1.58,2.339
2017-03-04 00:01:00+00:00,5.47,2.801
2017-03-04 00:16:00+00:00,3.54,8.912
2017-03-04 00:31:00+00:00,1.96,2.995
2017-03-04 00:46:00+00:00,1.29,1.515
2017-03-04 01:01:00+00:00,3.19,1.518
2017-03-04 01:16:00+00:00,1.9,1.391
2017-03-04 01:31:00+00:00,2.03,0.917
2017-03-04 01:46:00+00:00,2.08,0.9259999999999999
2017-03-04 02:01:00+00:00,1.6,1.3980000000000001
2017-03-04 02:16:00+00:00,3.82,1.3530000000000002
2017-03-04 02:31:00+00:00,1.59,1.2309999999999999
2017-03-04 02:46:00+00:00,1.11,1.1640000000000001
2017-03-04 03:01:00+00:00,1.13,0.8740000000000001
2017-03-04 03:16:00+00:00,2.43,0.657
2017-03-04 03:31:00+00:00,4.43,1.061
2017-03-04 03:46:00+00:00,3.16,0.662
2017-03-04 04:01:00+00:00,3.17,0.991
2017-03-04 04:16:00+00:00,5.41,0.513
2017-03-04 04:31:00+00:00,5.5,1.0859999999999999
2017-03-04 04:46:00+00:00,6.15,0.7509999999999999
2017-03-04 05:01:00+00:00,3.09,0.8270000000000001
2017-03-04 05:16:00+00:00,3.53,1.052
2017-03-04 05:31:00+00:00,3.71,0.713
2017-03-04 05:46:00+00:00,5.0,0.28800000000000003
2017-03-04 06:01:00+00:00,5.27,0.929
2017-03-04 06:16:00+00:00,0.81,0.812
2017-03-04 06:31:00+00:00,0.61,1.062
2017-03-04 06:46:00+00:00,1.2,0.672
2017-03-04 07:01:00+00:00,1.5,0.534
2017-03-04 07:16:00+00:00,2.99,0.313
2017-03-04 07:31:00+00:00,3.91,0.22699999999999998
2017-03-04 07:46:00+00:00,3.63,0.636
2017-03-04 08:01:00+00:00,3.71,0.35700000000000004
2017-03-04 08:16:00+00:00,3.6,-0.192
2017-03-04 08:31:00+00:00,3.85,0.415
2017-03-04 08:46:00+00:00,3.64,0.35
2017-03-04 09:01:00+00:00,2.88,0.35200000000000004
2017-03-04 09:16:00+00:00,3.18,0.073
2017-03-04 09:31:00+00:00,2.72,-0.248
2017-03-04 09:46:00+00:00,2.55,0.29
2017-03-04 10:01:00+00:00,2.6,-0.07
2017-03-04 10:16:00+00:00,2.3,0.33
2017-03-04 10:31:00+00:00,2.4,0.265
2017-03-04 10:46:00+00:00,2.66,-0.42100000000000004
2017-03-04 11:01:00+00:00,2.63,0.522
2017-03-04 11:16:00+00:00,2.2,0.41100000000000003
2017-03-04 11:31:00+00:00,2.62,0.348
2017-03-04 11:46:00+00:00,4.35,0.28600000000000003
2017-03-04 12:01:00+00:00,2.91,1.071
2017-03-04 12:16:00+00:00,2.78,0.794
2017-03-04 12:31:00+00:00,2.88,0.512
2017-03-04 12:46:00+00:00,3.33,0.647
2017-03-04 13:01:00+00:00,2.79,-0.33799999999999997
2017-03-04 13:16:00+00:00,3.12,0.524
2017-03-04 13:31:00+00:00,2.58,-0.191
2017-03-04 13:46:00+00:00,2.97,-0.053
2017-03-04 14:01:00+00:00,2.7,0.11699999999999999
2017-03-04 14:16:00+00:00,2.18,-0.222
2017-03-04 14:31:00+00:00,2.28,-0.32
2017-03-04 14:46:00+00:00,2.15,-0.336
2017-03-04 15:01:00+00:00,3.64,-0.493
2017-03-04 15:16:00+00:00,1.64,0.34299999999999997
2017-03-04 15:31:00+00:00,1.76,0.183
2017-03-04 15:46:00+00:00,1.84,0.885
2017-03-04 16:01:00+00:00,2.63,-0.615
2017-03-04 16:16:00+00:00,1.85,-0.073
2017-03-04 16:31:00+00:00,1.92,0.5529999999999999
2017-03-04 16:46:00+00:00,1.72,0.562
2017-03-04 17:01:00+00:00,1.83,0.611
2017-03-04 17:16:00+00:00,1.52,0.935
2017-03-04 17:31:00+00:00,1.22,0.841
2017-03-04 17:46:00+00:00,1.57,1.256
2017-03-04 18:01:00+00:00,2.02,0.711
2017-03-04 18:16:00+00:00,1.34,0.983
2017-03-04 18:31:00+00:00,1.47,1.264
2017-03-04 18:46:00+00:00,1.26,1.915
2017-03-04 19:01:00+00:00,1.69,1.565
2017-03-04 19:16:00+00:00,1.38,1.865
2017-03-04 19:31:00+00:00,1.64,1.43
2017-03-04 19:46:00+00:00,1.57,2.069
2017-03-04 20:01:00+00:00,1.5,1.6980000000000002
2017-03-04 20:16:00+00:00,1.08,2.171
2017-03-04 20:31:00+00:00,1.4,3.4930000000000003
2017-03-04 20:46:00+00:00,1.21,2.542
2017-03-04 21:01:00+00:00,1.24,2.388
2017-03-04 21:16:00+00:00,1.84,2.767
2017-03-04 21:31:00+00:00,1.21,9.565
2017-03-04 21:46:00+00:00,1.13,3.245
2017-03-04 22:01:00+00:00,1.31,2.472
2017-03-04 22:16:00+00:00,1.18,2.396
2017-03-04 22:31:00+00:00,1.1,4.524
2017-03-04 22:46:00+00:00,1.43,3.7239999999999998
2017-03-04 23:01:00+00:00,1.96,6.369
2017-03-04 23:16:00+00:00,1.85,8.636000000000001
2017-03-04 23:31:00+00:00,2.3,5.846
2017-03-04 23:46:00+00:00,2.12,8.638
2017-03-05 00:01:00+00:00,1.91,12.2
2017-03-05 00:16:00+00:00,2.15,9.389
2017-03-05 00:31:00+00:00,1.84,6.495
2017-03-05 00:46:00+00:00,3.71,3.841
2017-03-05 01:01:00+00:00,2.03,2.387
2017-03-05 01:16:00+00:00,2.2,1.9269999999999998
2017-03-05 01:31:00+00:00,2.48,1.609
2017-03-05 01:46:00+00:00,3.52,1.473
2017-03-05 02:01:00+00:00,5.1,2.154
2017-03-05 02:16:00+00:00,5.72,2.169
2017-03-05 02:31:00+00:00,6.36,1.527
2017-03-05 02:46:00+00:00,6.27,1.3869999999999998
2017-03-05 03:01:00+00:00,7.72,1.676
2017-03-05 03:16:00+00:00,7.58,0.382
2017-03-05 03:31:00+00:00,9.43,1.787
2017-03-05 03:46:00+00:00,9.37,0.973
2017-03-05 04:01:00+00:00,6.08,1.341
2017-03-05 04:16:00+00:00,5.73,1.0759999999999998
2017-03-05 04:31:00+00:00,5.51,1.237
