              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     124.374     861.455     332.000      68.000
     129.557     860.718     332.125      68.000
     134.741     859.990     332.250      68.000
     139.926     859.273     332.375      68.000
     145.113     858.566     332.500      68.000
     150.301     857.870     332.625      68.000
     155.491     857.183     332.750      68.000
     160.681     856.507     332.875      68.000
     165.874     855.842     333.000      68.000
     171.067     855.186     333.125      68.000
     176.262     854.541     333.250      68.000
     181.458     853.906     333.375      68.000
     186.655     853.281     333.500      68.000
     191.854     852.667     333.625      68.000
     197.053     852.062     333.750      68.000
     202.254     851.469     333.875      68.000
     207.456     850.885     334.000      68.000
     212.659     850.312     334.125      68.000
     217.864     849.749     334.250      68.000
     223.069     849.196     334.375      68.000
     228.276     848.654     334.500      68.000
     233.483     848.121     334.625      68.000
     238.692     847.599     334.750      68.000
     243.902     847.088     334.875      68.000
     249.112     846.587     335.000      68.000
     254.324     846.096     335.125      68.000
     259.536     845.615     335.250      68.000
     264.750     845.145     335.375      68.000
     269.964     844.685     335.500      68.000
     275.180     844.235     335.625      68.000
     280.396     843.796     335.750      68.000
     285.613     843.367     335.875      68.000
     290.831     842.948     336.000      68.000
     296.050     842.539     336.125      68.000
     301.269     842.141     336.250      68.000
     306.489     841.754     336.375      68.000
     311.710     841.376     336.500      68.000
     316.932     841.009     336.625      68.000
     322.155     840.652     336.750      68.000
     327.378     840.306     336.875      68.000
     332.602     839.970     337.000      68.000
     337.826     839.644     337.125      68.000
     343.052     839.328     337.250      68.000
     348.277     839.023     337.375      68.000
     353.504     838.728     337.500      68.000
     358.731     838.444     337.625      68.000
     363.958     838.169     337.750      68.000
     369.186     837.906     337.875      68.000
     374.415     837.652     338.000      68.000
     379.644     837.409     338.125      68.000
     384.873     837.176     338.250      68.000
     390.103     836.954     338.375      68.000
     395.334     836.742     338.500      68.000
     400.564     836.540     338.625      68.000
     405.796     836.348     338.750      68.000
     411.027     836.167     338.875      68.000
     416.259     835.997     339.000      68.000
     421.491     835.836     339.125      68.000
     426.724     835.686     339.250      68.000
     431.957     835.546     339.375      68.000
     437.190     835.417     339.500      68.000
     442.423     835.298     339.625      68.000
     447.657     835.189     339.750      68.000
     452.890     835.091     339.875      68.000
     458.124     835.003     340.000      68.000
     463.358     834.925     340.125      68.000
     468.593     834.858     340.250      68.000
     473.827     834.801     340.375      68.000
     479.061     834.755     340.500      68.000
     484.296     834.718     340.625      68.000
     489.531     834.692     340.750      68.000
     494.765     834.677     340.875      68.000
     500.000     834.672     341.000      68.000
     505.235     834.677     341.125      68.000
     510.469     834.692     341.250      68.000
     515.704     834.718     341.375      68.000
     520.939     834.755     341.500      68.000
     526.173     834.801     341.625      68.000
     531.407     834.858     341.750      68.000
     536.642     834.925     341.875      68.000
     541.876     835.003     342.000      68.000
     547.110     835.091     342.125      68.000
     552.343     835.189     342.250      68.000
     557.577     835.298     342.375      68.000
     562.810     835.417     342.500      68.000
     568.043     835.546     342.625      68.000
     573.276     835.686     342.750      68.000
     578.509     835.836     342.875      68.000
     583.741     835.997     343.000      68.000
     588.973     836.167     343.125      68.000
     594.204     836.348     343.250      68.000
     599.436     836.540     343.375      68.000
     604.666     836.742     343.500      68.000
     609.897     836.954     343.625      68.000
     615.127     837.176     343.750      68.000
     620.356     837.409     343.875      68.000
     625.585     837.652     344.000      68.000
     630.814     837.906     344.125      68.000
     636.042     838.169     344.250      68.000
     641.269     838.444     344.375      68.000
     646.496     838.728     344.500      68.000
     651.723     839.023     344.625      68.000
     656.948     839.328     344.750      68.000
     662.174     839.644     344.875      68.000
     667.398     839.970     345.000      68.000
     672.622     840.306     345.125      68.000
     677.845     840.652     345.250      68.000
     683.068     841.009     345.375      68.000
     688.290     841.376     345.500      68.000
     693.511     841.754     345.625      68.000
     698.731     842.141     345.750      68.000
     703.951     842.539     345.875      68.000
     709.169     842.948     346.000      68.000
     714.387     843.367     346.125      68.000
     719.604     843.796     346.250      68.000
     724.820     844.235     346.375      68.000
     730.036     844.685     346.500      68.000
     735.250     845.145     346.625      68.000
     740.464     845.615     346.750      68.000
     745.676     846.096     346.875      68.000
     750.888     846.587     347.000      68.000
     756.099     847.088     347.125      68.000
     761.308     847.599     347.250      68.000
     766.517     848.121     347.375      68.000
     771.724     848.654     347.500      68.000
     776.931     849.196     347.625      68.000
     782.136     849.749     347.750      68.000
     787.341     850.312     347.875      68.000
     792.544     850.885     348.000      68.000
     797.746     851.469     348.125      68.000
     802.947     852.062     348.250      68.000
     808.146     852.667     348.375      68.000
     813.345     853.281     348.500      68.000
     818.542     853.906     348.625      68.000
     823.738     854.541     348.750      68.000
     828.933     855.186     348.875      68.000
     834.126     855.842     349.000      68.000
     839.319     856.507     349.125      68.000
     844.509     857.183     349.250      68.000
     849.699     857.870     349.375      68.000
     854.887     858.566     349.500      68.000
     860.074     859.273     349.625      68.000
     865.259     859.990     349.750      68.000
     870.443     860.718     349.875      68.000
     875.625     861.455     350.000      68.000
     122.394     847.637     332.000      67.875
     127.604     846.895     332.125      67.875
     132.815     846.164     332.250      67.875
     138.028     845.443     332.375      67.875
     143.242     844.733     332.500      67.875
     148.457     844.032     332.625      67.875
     153.674     843.342     332.750      67.875
     158.892     842.663     332.875      67.875
     164.112     841.994     333.000      67.875
     169.333     841.335     333.125      67.875
     174.555     840.686     333.250      67.875
     179.778     840.047     333.375      67.875
     185.003     839.419     333.500      67.875
     190.229     838.802     333.625      67.875
     195.456     838.194     333.750      67.875
     200.684     837.597     333.875      67.875
     205.914     837.011     334.000      67.875
     211.144     836.434     334.125      67.875
     216.376     835.868     334.250      67.875
     221.609     835.313     334.375      67.875
     226.843     834.768     334.500      67.875
     232.078     834.233     334.625      67.875
     237.314     833.708     334.750      67.875
     242.551     833.194     334.875      67.875
     247.789     832.690     335.000      67.875
     253.028     832.196     335.125      67.875
     258.268     831.713     335.250      67.875
     263.509     831.240     335.375      67.875
     268.751     830.778     335.500      67.875
     273.994     830.326     335.625      67.875
     279.238     829.884     335.750      67.875
     284.482     829.453     335.875      67.875
     289.728     829.032     336.000      67.875
     294.974     828.621     336.125      67.875
     300.221     828.221     336.250      67.875
     305.469     827.831     336.375      67.875
     310.718     827.452     336.500      67.875
     315.967     827.083     336.625      67.875
     321.217     826.724     336.750      67.875
     326.468     826.376     336.875      67.875
     331.719     826.038     337.000      67.875
     336.971     825.710     337.125      67.875
     342.224     825.393     337.250      67.875
     347.477     825.086     337.375      67.875
     352.731     824.790     337.500      67.875
     357.986     824.504     337.625      67.875
     363.241     824.228     337.750      67.875
     368.496     823.963     337.875      67.875
     373.752     823.708     338.000      67.875
     379.009     823.464     338.125      67.875
     384.266     823.230     338.250      67.875
     389.524     823.006     338.375      67.875
     394.782     822.793     338.500      67.875
     400.040     822.590     338.625      67.875
     405.299     822.398     338.750      67.875
     410.558     822.216     338.875      67.875
     415.817     822.044     339.000      67.875
     421.077     821.883     339.125      67.875
     426.337     821.732     339.250      67.875
     431.598     821.591     339.375      67.875
     436.858     821.461     339.500      67.875
     442.119     821.342     339.625      67.875
     447.381     821.232     339.750      67.875
     452.642     821.133     339.875      67.875
     457.903     821.045     340.000      67.875
     463.165     820.967     340.125      67.875
     468.427     820.899     340.250      67.875
     473.689     820.842     340.375      67.875
     478.951     820.795     340.500      67.875
     484.213     820.759     340.625      67.875
     489.475     820.733     340.750      67.875
     494.738     820.717     340.875      67.875
     500.000     820.712     341.000      67.875
     505.262     820.717     341.125      67.875
     510.525     820.733     341.250      67.875
     515.787     820.759     341.375      67.875
     521.049     820.795     341.500      67.875
     526.311     820.842     341.625      67.875
     531.573     820.899     341.750      67.875
     536.835     820.967     341.875      67.875
     542.097     821.045     342.000      67.875
     547.358     821.133     342.125      67.875
     552.619     821.232     342.250      67.875
     557.881     821.342     342.375      67.875
     563.142     821.461     342.500      67.875
     568.402     821.591     342.625      67.875
     573.663     821.732     342.750      67.875
     578.923     821.883     342.875      67.875
     584.183     822.044     343.000      67.875
     589.442     822.216     343.125      67.875
     594.701     822.398     343.250      67.875
     599.960     822.590     343.375      67.875
     605.218     822.793     343.500      67.875
     610.476     823.006     343.625      67.875
     615.734     823.230     343.750      67.875
     620.991     823.464     343.875      67.875
     626.248     823.708     344.000      67.875
     631.504     823.963     344.125      67.875
     636.759     824.228     344.250      67.875
     642.014     824.504     344.375      67.875
     647.269     824.790     344.500      67.875
     652.523     825.086     344.625      67.875
     657.776     825.393     344.750      67.875
     663.029     825.710     344.875      67.875
     668.281     826.038     345.000      67.875
     673.532     826.376     345.125      67.875
     678.783     826.724     345.250      67.875
     684.033     827.083     345.375      67.875
     689.282     827.452     345.500      67.875
     694.531     827.831     345.625      67.875
     699.779     828.221     345.750      67.875
     705.026     828.621     345.875      67.875
     710.272     829.032     346.000      67.875
     715.518     829.453     346.125      67.875
     720.762     829.884     346.250      67.875
     726.006     830.326     346.375      67.875
     731.249     830.778     346.500      67.875
     736.491     831.240     346.625      67.875
     741.732     831.713     346.750      67.875
     746.972     832.196     346.875      67.875
     752.211     832.690     347.000      67.875
     757.449     833.194     347.125      67.875
     762.686     833.708     347.250      67.875
     767.922     834.233     347.375      67.875
     773.157     834.768     347.500      67.875
     778.391     835.313     347.625      67.875
     783.624     835.868     347.750      67.875
     788.856     836.434     347.875      67.875
     794.086     837.011     348.000      67.875
     799.316     837.597     348.125      67.875
     804.544     838.194     348.250      67.875
     809.771     838.802     348.375      67.875
     814.997     839.419     348.500      67.875
     820.222     840.047     348.625      67.875
     825.445     840.686     348.750      67.875
     830.667     841.335     348.875      67.875
     835.888     841.994     349.000      67.875
     841.108     842.663     349.125      67.875
     846.326     843.342     349.250      67.875
     851.543     844.032     349.375      67.875
     856.758     844.733     349.500      67.875
     861.972     845.443     349.625      67.875
     867.185     846.164     349.750      67.875
     872.396     846.895     349.875      67.875
     877.606     847.637     350.000      67.875
     120.413     833.820     332.000      67.750
     125.650     833.075     332.125      67.750
     130.889     832.340     332.250      67.750
     136.129     831.615     332.375      67.750
     141.371     830.901     332.500      67.750
     146.613     830.197     332.625      67.750
     151.858     829.503     332.750      67.750
     157.103     828.820     332.875      67.750
     162.350     828.147     333.000      67.750
     167.598     827.485     333.125      67.750
     172.848     826.833     333.250      67.750
     178.099     826.191     333.375      67.750
     183.351     825.560     333.500      67.750
     188.604     824.939     333.625      67.750
     193.859     824.328     333.750      67.750
     199.114     823.728     333.875      67.750
