                                        CALPUFF        Version: 6.263          Level: 080827      
 **********************************************************************************************************************************

 CALPUFF test case run - 3 point sources                                         
 24-Hour Simulation using CALMET met. data                                       
 Gridded receptors on 17x17 20-km met grid                                       
 
                             -----------------------
                             Mass Balance (Timestep)
                                      (g)
                             -----------------------
 
                                        Advected                    Wet          Dry         Domain       Domain       Domain   
Year Day Hr Sec   Species      Emitted        Out      Transformed   Depletion    Depletion       Total       Surface       Aloft   
 
2017 337  1    0  SO2           7.67785E+05  0.00000E+00 -8.19848E+02  0.00000E+00  1.74940E+04  7.49471E+05  7.49471E+05  0.00000E+00
2017 337  1    0  SO4           0.00000E+00  0.00000E+00  1.22974E+03  0.00000E+00  6.75306E-01  1.22906E+03  1.22906E+03  0.00000E+00
2017 337  2    0  SO2           7.67785E+05  0.00000E+00 -2.29853E+03  0.00000E+00  4.24041E+04  1.47255E+06  1.46025E+06  1.23028E+04
2017 337  2    0  SO4           0.00000E+00  0.00000E+00  3.44793E+03  0.00000E+00  3.95367E+00  4.67304E+03  4.61332E+03  5.97178E+01
2017 337  3    0  SO2           7.67785E+05  0.00000E+00 -3.73384E+03  0.00000E+00  5.25769E+04  2.18403E+06  2.12337E+06  6.06577E+04
2017 337  3    0  SO4           0.00000E+00  0.00000E+00  5.60074E+03  0.00000E+00  9.71912E+00  1.02641E+04  9.75495E+03  5.09105E+02
2017 337  4    0  SO2           7.67785E+05  2.91071E+05 -4.99406E+03  0.00000E+00  6.07763E+04  2.59497E+06  2.48755E+06  1.07422E+05
2017 337  4    0  SO4           0.00000E+00  3.21566E+03  7.49109E+03  0.00000E+00  1.64145E+01  1.45231E+04  1.35593E+04  9.63751E+02
2017 337  5    0  SO2           7.67785E+05  5.32871E+05 -5.47160E+03  0.00000E+00  6.31931E+04  2.76122E+06  2.63325E+06  1.27966E+05
2017 337  5    0  SO4           0.00000E+00  6.24763E+03  8.20761E+03  0.00000E+00  1.94566E+01  1.64636E+04  1.51537E+04  1.30994E+03
2017 337  6    0  SO2           7.67785E+05  6.93722E+05 -5.60831E+03  0.00000E+00  8.19550E+04  2.74772E+06  2.60242E+06  1.45294E+05
2017 337  6    0  SO4           0.00000E+00  8.35969E+03  8.41253E+03  0.00000E+00  2.26827E+01  1.64938E+04  1.49459E+04  1.54790E+03
2017 337  7    0  SO2           7.67785E+05  1.39335E+06 -4.80091E+03  0.00000E+00  8.35520E+04  2.03380E+06  2.03380E+06  0.00000E+00
2017 337  7    0  SO4           0.00000E+00  1.46028E+04  7.20114E+03  0.00000E+00  1.73592E+01  9.07478E+03  9.07478E+03  0.00000E+00
2017 337  8    0  SO2           7.67785E+05  1.17579E+06 -3.76120E+03  0.00000E+00  6.69815E+04  1.55504E+06  1.55504E+06  0.00000E+00
2017 337  8    0  SO4           0.00000E+00  9.38617E+03  5.64171E+03  0.00000E+00  9.76640E+00  5.32056E+03  5.32056E+03  0.00000E+00
2017 337  9    0  SO2           7.67785E+05  7.85308E+05 -3.15612E+03  0.00000E+00  5.53134E+04  1.47905E+06  1.47905E+06  0.00000E+00
2017 337  9    0  SO4           0.00000E+00  5.19340E+03  4.73422E+03  0.00000E+00  7.07395E+00  4.85430E+03  4.85430E+03  0.00000E+00
2017 337 10    0  SO2           7.67785E+05  8.32378E+05 -2.95257E+03  0.00000E+00  4.87903E+04  1.36272E+06  1.36272E+06  0.00000E+00
2017 337 10    0  SO4           0.00000E+00  5.13213E+03  4.42890E+03  0.00000E+00  6.17992E+00  4.14490E+03  4.14490E+03  0.00000E+00
2017 337 11    0  SO2           7.67785E+05  5.94454E+05 -3.04604E+03  0.00000E+00  5.15264E+04  1.48147E+06  1.48147E+06  0.00000E+00
2017 337 11    0  SO4           0.00000E+00  3.81894E+03  4.56911E+03  0.00000E+00  6.53174E+00  4.88854E+03  4.88854E+03  0.00000E+00
2017 337 12    0  SO2           7.67785E+05  7.13770E+05 -3.05525E+03  0.00000E+00  4.97932E+04  1.48264E+06  1.48264E+06  0.00000E+00
2017 337 12    0  SO4           0.00000E+00  4.57440E+03  4.58283E+03  0.00000E+00  6.34130E+00  4.89063E+03  4.89063E+03  0.00000E+00
2017 337 13    0  SO2           7.67785E+05  5.91457E+05 -5.33988E+03  0.00000E+00  6.13149E+04  1.59231E+06  1.59231E+06  0.00000E+00
2017 337 13    0  SO4           0.00000E+00  4.49383E+03  8.00986E+03  0.00000E+00  9.15955E+00  8.39750E+03  8.39750E+03  0.00000E+00
