              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
   15438.789     483.490      -1.853       1.069
    8258.077  -11828.457       7.366     -39.025
      98.324   55955.414     277.475     503.647
   15716.141    -236.404      -1.087      -0.509
   16541.727     152.604       1.163       0.304
   12873.865    1614.571      -9.509       4.647
   77606.648  -81950.859      76.944     -12.790
     486.418    1381.847     272.875      12.500
     500.000    1381.844     273.000      12.500
     513.582    1381.847     273.125      12.500
     527.164    1381.857     273.250      12.500
     540.746    1381.873     273.375      12.500
     554.328    1381.895     273.500      12.500
     567.910    1381.924     273.625      12.500
     581.493    1381.959     273.750      12.500
     595.076    1382.001     273.875      12.500
     608.659    1382.049     274.000      12.500
     622.243    1382.104     274.125      12.500
     635.828    1382.164     274.250      12.500
     649.413    1382.232     274.375      12.500
     662.999    1382.306     274.500      12.500
     676.585    1382.386     274.625      12.500
     690.172    1382.472     274.750      12.500
     703.760    1382.566     274.875      12.500
     717.349    1382.665     275.000      12.500
     391.289    1368.224     272.000      12.375
     404.879    1368.177     272.125      12.375
     418.468    1368.135     272.250      12.375
     432.057    1368.100     272.375      12.375
     445.646    1368.072     272.500      12.375
     459.235    1368.050     272.625      12.375
     472.823    1368.034     272.750      12.375
     486.412    1368.024     272.875      12.375
     500.000    1368.021     273.000      12.375
     513.588    1368.024     273.125      12.375
     527.177    1368.034     273.250      12.375
     540.765    1368.050     273.375      12.375
     554.354    1368.072     273.500      12.375
     567.943    1368.100     273.625      12.375
     581.532    1368.135     273.750      12.375
     595.121    1368.177     273.875      12.375
     608.711    1368.224     274.000      12.375
     622.302    1368.278     274.125      12.375
     635.893    1368.339     274.250      12.375
     649.484    1368.406     274.375      12.375
     663.077    1368.479     274.500      12.375
     676.669    1368.558     274.625      12.375
     690.263    1368.644     274.750      12.375
     703.858    1368.736     274.875      12.375
     717.453    1368.835     275.000      12.375
     391.237    1354.400     272.000      12.250
     404.834    1354.353     272.125      12.250
     418.430    1354.312     272.250      12.250
     432.025    1354.277     272.375      12.250
     445.621    1354.249     272.500      12.250
     459.216    1354.227     272.625      12.250
     472.811    1354.211     272.750      12.250
     486.405    1354.202     272.875      12.250
     500.000    1354.198     273.000      12.250
     513.595    1354.202     273.125      12.250
     527.190    1354.211     273.250      12.250
     540.784    1354.227     273.375      12.250
     554.380    1354.249     273.500      12.250
     567.975    1354.277     273.625      12.250
     581.570    1354.312     273.750      12.250
     595.166    1354.353     273.875      12.250
     608.763    1354.400     274.000      12.250
     622.360    1354.453     274.125      12.250
     635.957    1354.513     274.250      12.250
     649.555    1354.579     274.375      12.250
     663.154    1354.652     274.500      12.250
     676.753    1354.730     274.625      12.250
     690.353    1354.815     274.750      12.250
     703.954    1354.907     274.875      12.250
     717.556    1355.004     275.000      12.250
     391.186    1340.575     272.000      12.125
     404.789    1340.529     272.125      12.125
     418.391    1340.488     272.250      12.125
     431.993    1340.454     272.375      12.125
     445.595    1340.426     272.500      12.125
     459.197    1340.404     272.625      12.125
     472.798    1340.388     272.750      12.125
     486.399    1340.379     272.875      12.125
     500.000    1340.376     273.000      12.125
     513.601    1340.379     273.125      12.125
     527.202    1340.388     273.250      12.125
     540.804    1340.404     273.375      12.125
     554.405    1340.426     273.500      12.125
     568.007    1340.454     273.625      12.125
     581.609    1340.488     273.750      12.125
     595.211    1340.529     273.875      12.125
     608.814    1340.575     274.000      12.125
     622.417    1340.628     274.125      12.125
     636.021    1340.688     274.250      12.125
     649.625    1340.753     274.375      12.125
     663.230    1340.825     274.500      12.125
     676.836    1340.903     274.625      12.125
     690.442    1340.987     274.750      12.125
     704.050    1341.078     274.875      12.125
     717.658    1341.174     275.000      12.125
     391.136    1326.751     272.000      12.000
     404.745    1326.705     272.125      12.000
     418.354    1326.665     272.250      12.000
     431.962    1326.631     272.375      12.000
     445.570    1326.603     272.500      12.000
     459.178    1326.581     272.625      12.000
     472.785    1326.566     272.750      12.000
     486.393    1326.557     272.875      12.000
     500.000    1326.554     273.000      12.000
     513.607    1326.557     273.125      12.000
     527.215    1326.566     273.250      12.000
     540.822    1326.581     273.375      12.000
     554.430    1326.603     273.500      12.000
     568.038    1326.631     273.625      12.000
     581.646    1326.665     273.750      12.000
     595.255    1326.705     273.875      12.000
     608.864    1326.751     274.000      12.000
     622.474    1326.804     274.125      12.000
     636.084    1326.862     274.250      12.000
     649.695    1326.927     274.375      12.000
     663.306    1326.998     274.500      12.000
     676.918    1327.075     274.625      12.000
     690.531    1327.159     274.750      12.000
     704.144    1327.248     274.875      12.000
     717.759    1327.344     275.000      12.000
     391.086    1312.927     272.000      11.875
     404.701    1312.881     272.125      11.875
     418.316    1312.842     272.250      11.875
     431.931    1312.808     272.375      11.875
     445.545    1312.780     272.500      11.875
     459.159    1312.759     272.625      11.875
     472.773    1312.744     272.750      11.875
     486.386    1312.735     272.875      11.875
     500.000    1312.731     273.000      11.875
     513.614    1312.735     273.125      11.875
     527.227    1312.744     273.250      11.875
     540.841    1312.759     273.375      11.875
     554.455    1312.780     273.500      11.875
     568.069    1312.808     273.625      11.875
     581.684    1312.842     273.750      11.875
     595.299    1312.881     273.875      11.875
     608.914    1312.927     274.000      11.875
     622.530    1312.979     274.125      11.875
     636.146    1313.037     274.250      11.875
     649.763    1313.101     274.375      11.875
     663.381    1313.172     274.500      11.875
     676.999    1313.248     274.625      11.875
     690.618    1313.331     274.750      11.875
     704.238    1313.419     274.875      11.875
     717.859    1313.514     275.000      11.875
     391.037    1299.103     272.000      11.750
     404.658    1299.058     272.125      11.750
     418.279    1299.018     272.250      11.750
     431.900    1298.985     272.375      11.750
     445.520    1298.958     272.500      11.750
     459.140    1298.937     272.625      11.750
     472.760    1298.922     272.750      11.750
     486.380    1298.912     272.875      11.750
     500.000    1298.909     273.000      11.750
     513.620    1298.912     273.125      11.750
     527.240    1298.922     273.250      11.750
     540.860    1298.937     273.375      11.750
     554.480    1298.958     273.500      11.750
     568.100    1298.985     273.625      11.750
     581.721    1299.018     273.750      11.750
     595.342    1299.058     273.875      11.750
